cut,n_candidates,matched_candidates,matched_true_clusters,recovery,purity_proxy,candidate_density,f1
PPM_richness/rmax^2 >= 6.388 & PPM_z_rms <= 0.07512,1355,629,525,0.44191919191919193,0.46420664206642065,1.1405723905723906,0.45278882126822
PPM_rmax_mean <= 1.4139,2123,807,653,0.5496632996632996,0.38012246820536977,1.787037037037037,0.44943550949132954
PPM_significance >= 4.2228 & PPM_z_rms <= 0.09906,1293,630,495,0.4166666666666667,0.4872389791183295,1.0883838383838385,0.44919786096256686
PPM_significance >= 4.2228 & PPM_z_rms <= 0.09405,1229,608,486,0.4090909090909091,0.4947111472742067,1.0345117845117846,0.44784548021442894
PPM_significance >= 2.8866 & PPM_z_rms <= 0.07512,1479,653,536,0.4511784511784512,0.4415145368492224,1.244949494949495,0.44629418530221077
PPM_significance >= 4.2228 & PPM_richness >= 18,1145,595,464,0.39057239057239057,0.519650655021834,0.9638047138047138,0.4459592614728544
PPM_richness/rmax^2 >= 9.538 & PPM_z_rms <= 0.0852,1443,687,498,0.41919191919191917,0.4760914760914761,1.2146464646464648,0.4458335776696183
PPM_significance >= 2.4423 & PPM_richness >= 27,1328,647,483,0.4065656565656566,0.4871987951807229,1.1178451178451179,0.44324496829922133
PPM_significance >= 2.269 & PPM_richness >= 27,1333,648,483,0.4065656565656566,0.48612153038259565,1.122053872053872,0.44279860192988
PPM_richness >= 27,1344,652,483,0.4065656565656566,0.4851190476190476,1.1313131313131313,0.4423822527898587
PPM_significance >= 2.8866 & PPM_richness >= 27,1274,628,472,0.39730639730639733,0.49293563579277866,1.0723905723905724,0.43998480026599535
PPM_significance >= 2.6151 & PPM_richness >= 27,1312,638,477,0.4015151515151515,0.48628048780487804,1.1043771043771045,0.4398511889276237
PPM_significance >= 3.0933 & PPM_richness >= 27,1247,620,468,0.3939393939393939,0.4971932638331997,1.0496632996632997,0.43958441275122034
PPM_richness/(rmax^2*z_rms) >= 152.786,1334,618,494,0.4158249158249158,0.46326836581709147,1.1228956228956228,0.43826641209319683
PPM_significance >= 4.2228 & PPM_z_rms <= 0.08998,1145,569,462,0.3888888888888889,0.496943231441048,0.9638047138047138,0.43632579284657946
PPM_richness/rmax^2 >= 11.006,1283,616,473,0.39814814814814814,0.48012470771628996,1.07996632996633,0.43531064857802576
PPM_significance >= 3.0933 & PPM_z_rms <= 0.07512,1305,590,493,0.414983164983165,0.4521072796934866,1.0984848484848484,0.43275049561662887
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.07512,1180,560,472,0.39730639730639733,0.4745762711864407,0.9932659932659933,0.4325173452022516
PPM_richness/rmax^2 >= 9.538 & PPM_z_rms <= 0.08202,1250,603,463,0.3897306397306397,0.4824,1.0521885521885521,0.431141968969527
PPM_significance >= 3.6009 & PPM_richness >= 27,1133,568,446,0.37542087542087543,0.501323918799647,0.9537037037037037,0.42933237974344596
PPM_significance >= 4.2228 & PPM_z_rms <= 0.0852,1005,513,434,0.3653198653198653,0.5104477611940299,0.8459595959595959,0.425858873350969
PPM_richness >= 32,1040,531,430,0.36195286195286197,0.510576923076923,0.8754208754208754,0.42360680798643446
PPM_significance >= 2.4423 & PPM_richness >= 32,1037,530,429,0.3611111111111111,0.5110896817743491,0.872895622895623,0.4232056755013667
PPM_significance >= 2.269 & PPM_richness >= 32,1038,530,429,0.3611111111111111,0.5105973025048169,0.8737373737373737,0.423036777798244
PPM_significance >= 3.6009 & PPM_z_rms <= 0.07512,983,481,439,0.36952861952861954,0.4893184130213632,0.8274410774410774,0.42106952884696874
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.09906,1191,569,447,0.37626262626262624,0.47774979009235935,1.0025252525252526,0.42097605906902724
PPM_significance >= 4.5953,1010,510,428,0.3602693602693603,0.504950495049505,0.8501683501683501,0.42051321568929645
PPM_significance >= 4.5953 & PPM_richness >= 6,1010,510,428,0.3602693602693603,0.504950495049505,0.8501683501683501,0.42051321568929645
PPM_significance >= 4.5953 & PPM_richness >= 7,1010,510,428,0.3602693602693603,0.504950495049505,0.8501683501683501,0.42051321568929645
PPM_significance >= 2.6151 & PPM_richness >= 32,1027,523,425,0.35774410774410775,0.5092502434274586,0.8644781144781145,0.42025942546740924
PPM_significance >= 4.5953 & PPM_richness >= 9,1003,508,426,0.35858585858585856,0.5064805583250249,0.8442760942760943,0.41989091776922766
PPM_significance >= 4.5953 & PPM_richness >= 13,983,503,422,0.3552188552188552,0.5116988809766022,0.8274410774410774,0.419336421734707
PPM_richness/rmax^2 >= 3.136 & PPM_z_rms <= 0.06703,1208,524,481,0.4048821548821549,0.4337748344370861,1.0168350168350169,0.41883080195420247
PPM_significance >= 2.8866 & PPM_richness >= 32,1008,516,421,0.3543771043771044,0.5119047619047619,0.8484848484848485,0.4188182491208588
PPM_significance >= 3.0933 & PPM_richness >= 32,997,513,419,0.35269360269360267,0.5145436308926781,0.8392255892255892,0.4185158106557033
PPM_significance >= 4.5953 & PPM_richness >= 11,991,503,422,0.3552188552188552,0.5075681130171544,0.8341750841750841,0.41794271515289944
PPM_richness/rmax^2 >= 12.006,1042,499,434,0.3653198653198653,0.47888675623800386,0.877104377104377,0.4144645181045702
PPM_z_rms <= 0.06703,1334,546,498,0.41919191919191917,0.40929535232383807,1.1228956228956228,0.4141845268016268
PPM_significance >= 4.5953 & PPM_z_rms <= 0.09906,977,488,420,0.35353535353535354,0.49948822927328557,0.8223905723905723,0.4140254766262257
PPM_significance >= 4.5953 & PPM_richness >= 18,916,480,405,0.3409090909090909,0.5240174672489083,0.7710437710437711,0.41308089500860584
PPM_significance >= 4.2228 & PPM_z_rms <= 0.08202,887,461,407,0.3425925925925926,0.5197294250281849,0.7466329966329966,0.4129674240681782
PPM_significance >= 2.269 & PPM_z_rms <= 0.06703,1234,521,479,0.4031986531986532,0.4222042139384117,1.0387205387205387,0.4124826244551806
PPM_significance >= 4.5953 & PPM_z_rms <= 0.09405,925,470,411,0.34595959595959597,0.5081081081081081,0.7786195286195287,0.41164154773130474
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.09405,1117,532,430,0.36195286195286197,0.4762757385854969,0.9402356902356902,0.41131826460947607
PPM_richness/rmax^2 >= 4.002 & PPM_z_rms <= 0.06703,1142,495,460,0.3872053872053872,0.43345008756567427,0.9612794612794613,0.40902477141676696
PPM_significance >= 4.2228 & PPM_richness >= 27,926,484,399,0.33585858585858586,0.5226781857451404,0.7794612794612794,0.40894219590752867
PPM_significance >= 3.6009 & PPM_richness >= 32,937,481,401,0.33754208754208753,0.5133404482390609,0.7887205387205387,0.4072806744337048
PPM_significance >= 2.4423 & PPM_z_rms <= 0.06703,1151,494,457,0.3846801346801347,0.4291920069504778,0.9688552188552189,0.4057188607207073
PPM_significance >= 4.5953 & PPM_z_rms <= 0.08998,867,445,394,0.33164983164983164,0.5132641291810842,0.7297979797979798,0.40293797931188224
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.09906,964,457,404,0.3400673400673401,0.47406639004149376,0.8114478114478114,0.3960393491010026
PPM_richness/rmax^2 >= 5.003 & PPM_z_rms <= 0.06703,965,440,414,0.3484848484848485,0.45595854922279794,0.8122895622895623,0.3950424514492047
PPM_significance >= 2.6151 & PPM_z_rms <= 0.06703,1062,461,426,0.35858585858585856,0.4340866290018832,0.8939393939393939,0.3927405807535397
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.08998,1027,483,400,0.3367003367003367,0.47030185004868547,0.8644781144781145,0.3924420376110599
PPM_richness/(rmax^2*z_rms) >= 167.574,1010,457,408,0.3434343434343434,0.4524752475247525,0.8501683501683501,0.390485405174472
PPM_significance >= 4.5953 & PPM_richness >= 27,784,413,368,0.30976430976430974,0.5267857142857143,0.6599326599326599,0.3901246990333129
PPM_significance >= 4.2228 & PPM_richness >= 32,792,419,365,0.30723905723905726,0.5290404040404041,0.6666666666666666,0.38872621534926527
PPM_significance >= 4.5953 & PPM_z_rms <= 0.0852,763,398,364,0.3063973063973064,0.5216251638269986,0.6422558922558923,0.3860391496437307
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.09405,909,430,387,0.32575757575757575,0.4730473047304731,0.7651515151515151,0.38582323912068195
PPM_richness/rmax^2 >= 9.538 & PPM_z_rms <= 0.07512,853,415,377,0.31734006734006737,0.48651817116060964,0.718013468013468,0.38412670743099997
PPM_richness/rmax^2 >= 3.136 & PPM_z_rms <= 0.06272,898,393,399,0.33585858585858586,0.4376391982182628,0.7558922558922558,0.3800524972551643
PPM_significance >= 2.8866 & PPM_z_rms <= 0.06703,941,419,392,0.32996632996632996,0.4452709883103082,0.7920875420875421,0.3790437596060205
PPM_rmax_mean <= 1.1626,1334,488,464,0.39057239057239057,0.3658170914542729,1.1228956228956228,0.3777896422851041
PPM_significance >= 4.5953 & PPM_z_rms <= 0.08202,671,361,344,0.2895622895622896,0.5380029806259314,0.5648148148148148,0.37649084724386533
PPM_z_rms <= 0.06272,1010,413,414,0.3484848484848485,0.4089108910891089,0.8501683501683501,0.37628743463793374
PPM_richness/rmax^2 >= 6.388 & PPM_z_rms <= 0.06703,829,388,372,0.31313131313131315,0.4680337756332931,0.6978114478114478,0.37522422049258325
PPM_significance >= 4.5953 & PPM_richness >= 32,697,372,342,0.2878787878787879,0.533715925394548,0.5867003367003367,0.3740177272125943
PPM_significance >= 2.269 & PPM_z_rms <= 0.06272,926,391,397,0.3341750841750842,0.4222462203023758,0.7794612794612794,0.3730835326211049
PPM_significance >= 4.2228 & PPM_z_rms <= 0.07512,647,344,341,0.28703703703703703,0.5316846986089645,0.5446127946127947,0.37280847419112384
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.0852,905,432,362,0.3047138047138047,0.47734806629834253,0.7617845117845118,0.37197707968117066
PPM_rmax_mean >= 1.9995,864,398,369,0.3106060606060606,0.46064814814814814,0.7272727272727273,0.3710322874033652
PPM_richness/rmax^2 >= 4.002 & PPM_z_rms <= 0.06272,848,370,380,0.31986531986531985,0.4363207547169811,0.7138047138047138,0.36912575479128373
PPM_significance >= 5.2171,647,348,328,0.2760942760942761,0.5378670788253478,0.5446127946127947,0.3648871555527141
PPM_significance >= 5.2171 & PPM_richness >= 6,647,348,328,0.2760942760942761,0.5378670788253478,0.5446127946127947,0.3648871555527141
PPM_significance >= 5.2171 & PPM_richness >= 7,647,348,328,0.2760942760942761,0.5378670788253478,0.5446127946127947,0.3648871555527141
PPM_significance >= 5.2171 & PPM_richness >= 9,647,348,328,0.2760942760942761,0.5378670788253478,0.5446127946127947,0.3648871555527141
PPM_significance >= 5.2171 & PPM_richness >= 13,641,345,326,0.27441077441077444,0.5382215288611545,0.5395622895622896,0.3634947465038638
PPM_significance >= 3.0933 & PPM_z_rms <= 0.06703,824,380,356,0.2996632996632997,0.46116504854368934,0.6936026936026936,0.36327311005606994
PPM_significance >= 5.2171 & PPM_richness >= 11,643,345,326,0.27441077441077444,0.536547433903577,0.5412457912457912,0.3631121686323001
PPM_significance >= 2.4423 & PPM_z_rms <= 0.06272,859,367,375,0.31565656565656564,0.42724097788125726,0.7230639730639731,0.3630686922008492
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.08998,833,386,353,0.29713804713804715,0.46338535414165666,0.7011784511784511,0.36209120973881803
PPM_significance >= 5.2171 & PPM_z_rms <= 0.09906,631,337,324,0.2727272727272727,0.5340729001584786,0.5311447811447811,0.3610714285714286
PPM_significance >= 5.2171 & PPM_z_rms <= 0.09405,601,329,317,0.2668350168350168,0.5474209650582362,0.5058922558922558,0.358784180099042
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.08202,790,382,338,0.2845117845117845,0.4835443037974684,0.664983164983165,0.3582395995760478
PPM_significance >= 5.2171 & PPM_richness >= 18,616,332,316,0.265993265993266,0.538961038961039,0.5185185185185185,0.3561941494418339
PPM_significance >= 2.4423 & PPM_richness >= 41,670,352,320,0.26936026936026936,0.5253731343283582,0.563973063973064,0.35613112100364225
PPM_significance >= 2.6151 & PPM_richness >= 41,670,352,320,0.26936026936026936,0.5253731343283582,0.563973063973064,0.35613112100364225
PPM_richness >= 41,671,352,320,0.26936026936026936,0.5245901639344263,0.5648148148148148,0.3559510567296997
PPM_significance >= 2.269 & PPM_richness >= 41,671,352,320,0.26936026936026936,0.5245901639344263,0.5648148148148148,0.3559510567296997
PPM_significance >= 2.8866 & PPM_richness >= 41,662,348,318,0.2676767676767677,0.525679758308157,0.5572390572390572,0.35472641600153865
PPM_significance >= 3.0933 & PPM_richness >= 41,659,347,317,0.2668350168350168,0.5265553869499241,0.5547138047138047,0.3541848120951993
PPM_richness/rmax^2 >= 5.003 & PPM_z_rms <= 0.06272,698,322,338,0.2845117845117845,0.46131805157593125,0.5875420875420876,0.3519580894479837
PPM_significance >= 2.6151 & PPM_z_rms <= 0.06272,782,340,349,0.2937710437710438,0.43478260869565216,0.6582491582491582,0.35063043150650525
PPM_significance >= 3.6009 & PPM_richness >= 41,638,337,310,0.2609427609427609,0.5282131661442007,0.5370370370370371,0.3493185496275094
PPM_significance >= 5.2171 & PPM_z_rms <= 0.08998,565,312,301,0.25336700336700335,0.552212389380531,0.47558922558922556,0.34735843438668
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.06703,700,333,321,0.2702020202020202,0.4757142857142857,0.5892255892255892,0.34464714075679026
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.0852,734,347,321,0.2702020202020202,0.47275204359673023,0.6178451178451179,0.34386663579532306
PPM_rmax_mean >= 2.2355,676,323,316,0.265993265993266,0.47781065088757396,0.569023569023569,0.3417417216325711
PPM_significance >= 5.2171 & PPM_richness >= 27,559,301,297,0.25,0.5384615384615384,0.47053872053872053,0.3414634146341463
PPM_significance >= 3.6009 & PPM_z_rms <= 0.06703,601,301,302,0.2542087542087542,0.5008319467554077,0.5058922558922558,0.3372423899534401
PPM_richness/rmax^2 >= 13.007,603,308,299,0.2516835016835017,0.5107794361525705,0.5075757575757576,0.337209195882102
PPM_significance >= 2.8866 & PPM_z_rms <= 0.06272,681,305,319,0.26851851851851855,0.447870778267254,0.5732323232323232,0.3357437036193513
PPM_significance >= 4.5953 & PPM_z_rms <= 0.07512,481,270,283,0.2382154882154882,0.5613305613305614,0.4048821548821549,0.3344838831823465
PPM_richness/(rmax^2*z_rms) >= 194.176,647,298,310,0.2609427609427609,0.4605873261205564,0.5446127946127947,0.3331446066852508
PPM_significance >= 5.2171 & PPM_richness >= 32,523,282,286,0.24074074074074073,0.5391969407265774,0.44023569023569026,0.3328642121033277
PPM_significance >= 4.2228 & PPM_richness >= 41,585,305,288,0.24242424242424243,0.5213675213675214,0.49242424242424243,0.33095964733808075
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.08202,645,309,299,0.2516835016835017,0.4790697674418605,0.5429292929292929,0.3299990891995135
PPM_significance >= 5.2171 & PPM_z_rms <= 0.0852,497,282,275,0.23148148148148148,0.5674044265593562,0.41835016835016836,0.3288169585597351
PPM_richness/rmax^2 >= 6.388 & PPM_z_rms <= 0.06272,595,279,298,0.25084175084175087,0.4689075630252101,0.5008417508417509,0.3268404479894332
PPM_significance >= 3.0933 & PPM_z_rms <= 0.06272,590,279,289,0.24326599326599327,0.4728813559322034,0.49663299663299665,0.32126336256529375
PPM_richness/rmax^2 >= 13.007 & PPM_z_rms <= 0.09906,552,279,276,0.23232323232323232,0.5054347826086957,0.46464646464646464,0.31832725649229854
PPM_significance >= 4.5953 & PPM_richness >= 41,532,276,272,0.22895622895622897,0.518796992481203,0.4478114478114478,0.3177032196905576
PPM_significance >= 5.2171 & PPM_z_rms <= 0.08202,443,259,259,0.21801346801346802,0.5846501128668171,0.3728956228956229,0.3175965665236052
PPM_richness/rmax^2 >= 13.007 & PPM_z_rms <= 0.09405,523,265,264,0.2222222222222222,0.5066921606118547,0.44023569023569026,0.3089478286213932
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.07512,527,256,268,0.2255892255892256,0.4857685009487666,0.4436026936026936,0.30809854411223175
PPM_richness/rmax^2 >= 14.007,513,261,258,0.21717171717171718,0.5087719298245614,0.4318181818181818,0.30440620041498845
PPM_richness/rmax^2 >= 9.538 & PPM_z_rms <= 0.06703,503,253,258,0.21717171717171718,0.5029821073558648,0.4234006734006734,0.30336154371679935
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.06272,497,236,257,0.21632996632996632,0.47484909456740443,0.41835016835016836,0.29724305741037055
PPM_significance >= 4.2228 & PPM_z_rms <= 0.06703,393,221,237,0.1994949494949495,0.5623409669211196,0.33080808080808083,0.2945100916812159
PPM_significance >= 3.6009 & PPM_z_rms <= 0.06272,428,222,244,0.2053872053872054,0.5186915887850467,0.3602693602693603,0.2942569696442928
PPM_richness/rmax^2 >= 13.007 & PPM_z_rms <= 0.08998,480,241,245,0.20622895622895623,0.5020833333333333,0.40404040404040403,0.29236855917684224
PPM_richness/rmax^2 >= 14.007 & PPM_z_rms <= 0.09906,471,238,238,0.20033670033670034,0.505307855626327,0.39646464646464646,0.2869198312236287
PPM_significance >= 5.8001,405,217,229,0.19276094276094277,0.5358024691358024,0.3409090909090909,0.28352175637086674
PPM_significance >= 5.8001 & PPM_richness >= 6,405,217,229,0.19276094276094277,0.5358024691358024,0.3409090909090909,0.28352175637086674
PPM_significance >= 5.8001 & PPM_richness >= 7,405,217,229,0.19276094276094277,0.5358024691358024,0.3409090909090909,0.28352175637086674
PPM_significance >= 5.8001 & PPM_richness >= 9,405,217,229,0.19276094276094277,0.5358024691358024,0.3409090909090909,0.28352175637086674
PPM_significance >= 5.8001 & PPM_richness >= 11,405,217,229,0.19276094276094277,0.5358024691358024,0.3409090909090909,0.28352175637086674
PPM_significance >= 5.8001 & PPM_richness >= 13,405,217,229,0.19276094276094277,0.5358024691358024,0.3409090909090909,0.28352175637086674
PPM_significance >= 5.8001 & PPM_richness >= 18,394,212,226,0.19023569023569023,0.5380710659898477,0.33164983164983164,0.2810912290994427
PPM_significance >= 5.2171 & PPM_richness >= 41,416,216,227,0.19107744107744107,0.5192307692307693,0.3501683501683502,0.2793527803099362
PPM_significance >= 5.2171 & PPM_z_rms <= 0.07512,311,196,212,0.17845117845117844,0.6302250803858521,0.2617845117845118,0.2781444541133945
PPM_significance >= 5.8001 & PPM_z_rms <= 0.09906,395,209,224,0.18855218855218855,0.529113924050633,0.3324915824915825,0.27802786454930933
PPM_richness/rmax^2 >= 3.136 & PPM_z_rms <= 0.05523,555,229,249,0.20959595959595959,0.4126126126126126,0.4671717171717172,0.27798375125229435
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.07512,434,209,232,0.19528619528619529,0.4815668202764977,0.3653198653198653,0.2778841194337784
PPM_richness/rmax^2 >= 14.007 & PPM_z_rms <= 0.09405,444,224,226,0.19023569023569023,0.5045045045045045,0.37373737373737376,0.27628965005348527
PPM_richness/rmax^2 >= 13.007 & PPM_z_rms <= 0.0852,424,219,224,0.18855218855218855,0.5165094339622641,0.3569023569023569,0.27625665919560294
PPM_z_rms <= 0.05523,647,240,259,0.21801346801346802,0.37094281298299847,0.5446127946127947,0.2746231993867809
PPM_significance >= 5.8001 & PPM_z_rms <= 0.09405,382,205,219,0.18434343434343434,0.5366492146596858,0.32154882154882153,0.27442099279335447
PPM_significance >= 5.8001 & PPM_z_rms <= 0.08998,366,201,213,0.17929292929292928,0.5491803278688525,0.30808080808080807,0.2703301699153265
PPM_significance >= 2.269 & PPM_z_rms <= 0.05523,590,226,248,0.20875420875420875,0.38305084745762713,0.49663299663299665,0.27023586816069123
PPM_significance >= 2.8866 & PPM_richness >= 53,410,215,216,0.18181818181818182,0.524390243902439,0.3451178451178451,0.27001569858712715
PPM_significance >= 3.0933 & PPM_richness >= 53,410,215,216,0.18181818181818182,0.524390243902439,0.3451178451178451,0.27001569858712715
PPM_richness >= 53,412,215,216,0.18181818181818182,0.5218446601941747,0.3468013468013468,0.26967701473816247
PPM_significance >= 2.269 & PPM_richness >= 53,412,215,216,0.18181818181818182,0.5218446601941747,0.3468013468013468,0.26967701473816247
PPM_significance >= 2.4423 & PPM_richness >= 53,412,215,216,0.18181818181818182,0.5218446601941747,0.3468013468013468,0.26967701473816247
